,title,content,keywords
0,牛油果绿怎么搭，周雨彤的斜挎包，吴宣仪的吊带衫，谁是你的爱？,都说时尚圈总有着自己的秘密，而关于流行色的选定似乎也格外神秘，从紫色到珊瑚橘，再到今年备受欢迎的牛油果绿，似乎从没有什么明文规定，但却都心照不宣。而作为今年的一大流行色，牛油果绿虽美，怎么搭配却成了一大难题，别担心，今天咱们就来学学娱乐圈的那些时髦精们都是怎么玩的~\n首先就是最近因为《大宋少年志》的播出而受到了不小关注的周雨彤啦，在剧中一副干练又英姿飒爽的模样，在剧外周雨彤却是一个时髦精，私服造型被不少时尚博主认为是穿搭范本之一。而她对牛油果绿的运用就也非常得心应手。\n其实周雨彤的牛油果绿造型造型并不多，但却经常会把这些元素融入到私服造型中，就光说配饰的选择上周雨彤就有不少牛油果绿色的包包，不论是斜挎小包还是单肩包，都可以把它搭配到日常造型中，而同时周雨彤用来搭配的造型也多半会选择比较干净的白色，或是有相呼应的绿色系点缀的单品，让整个造型的整体感也更强。\n当然，不仅是周雨彤，周洁琼之前也有选择过牛油果绿色的包包，同时周洁琼还直接选择了牛油果绿的内搭上衣与之搭配。\n沈月也是一样，牛油果绿色的帆布袋搭配上同色系衬衫，似乎也是一副小清新女孩的模样。可以看得出来选择牛油果绿色系的包包算是平时私服造型中很容易get的一种搭配方式啦。\n当然，相信大家也有注意到上面这两位搭配牛油果绿背包的女孩也同样搭配了牛油果绿色系的上衣，不过小编并不是很推荐大面积的搭配牛油果绿色啦，毕竟这对颜值的要求比较高，而且一不小心就很容易用力过猛。\n所以像吊带衫啦，背心啦，之类的单品其实反而更适合作为私服的搭配。像吴宣仪不久前晒出的一组造型中不就选择了一款牛油果绿色的针织吊带衫？\n短款的牛油果绿吊带衫搭配上白色高腰裤，同时腰间的腰包也选择了牛油果绿色作为搭配呼应，整个造型也是清新又少女的风格，完全是时尚感在线的咯~\n类似的牛油果绿吊带衫之前关晓彤就也同样尝试过，绿色的格纹吊带搭配高腰裤，不仅彰显个性，也更凸显了身材，同时关晓彤的渔夫帽也是带着牛油果绿配色的。\n好啦，简单的牛油果绿色的搭配就说到这了，怎么样，周雨彤的包包搭配法和吴宣仪的吊带衫造型，你更喜欢哪一款呢？谁才是你的爱？快来留言告诉我吧！\n,搭配;牛油果;造型;
1,昨稱「討厭外省人」挨批　柯文哲今否認：我已是最沒省籍對立的人了,台北市長柯文哲昨日接受廣播節目專訪時，說出自己還是綠底，小時候在家族言談間，就討厭外省人。柯文哲今（4）日受訪時被問到，現在心境還是討厭外省人？柯文哲說「沒有」，他是二二八家族，他們小時候家族的氛圍就是很不喜歡外省人，是講上一代的故事。柯文哲表示，二二八到現在70年了，所有的仇恨可以過去就讓它過去，他爸爸每年二二八時間到會哭，像他兒子就不曉得跑到哪裡去玩了，那對他兒子來講就很遙遠，但對他父親沒辦法，那是他父親的故事，「我爸存在1天，對我來講有影響。」\n柯文哲上午出席信義區三興段資源回收廠基地公共住宅新建工程動土祈福典禮，會前受訪時，被問到日前講到討厭外省人的議題。柯文哲回應，為什麼他會說我們有不同的過去，但有共同的現在，到底要不要走向共同的未來？柯表示，他每次講說自己當然是墨綠出身的，但是當台北市長，是要服務所有的人，就像當醫生不會問黨籍，所以用這種心態來處理台北市政，就簡單多了。\n至於現在還是討厭外省人？柯文哲說，都已經過去70年了，民國36年二二八到現在70年了，所有的仇恨可以過去就讓它過去，事實上，他爸爸每年二二八時間到會哭，但像他兒子就不曉得跑到哪裡去玩了，那對他（兒子）來講就很遙遠，但對父親沒辦法，那是他父親的故事，「對我來講，我爸存在1天，對我來講有影響。」\n記者追問，這樣的說法是要搶回綠營的票？柯文哲表示，不要每次都說什麼票不票的，他的態度是該怎麼做就怎麼做。而這樣的說法，綠黨桃園市議員王浩宇則批柯文哲操弄省籍對立，對此，柯說，他已經是最沒有省籍對立的人了。\n,對立;;外省人;省籍;柯文哲;
2,黑龙江公布《侵华日军第七三一细菌部队安达特别实验场遗址保护规划》,原标题：黑龙江公布《侵华日军第七三一细菌部队安达特别实验场遗址保护规划》\n　　记者从黑龙江省文化和旅游厅获悉，日前黑龙江省公布并开始实施《侵华日军第七三一细菌部队安达特别实验场遗址保护规划》，旨在完整真实地保存该遗址作为重要历史见证价值，维护文物建筑及历史环境的安全。\n　　在规划中，工作人员评估了遗址及周边环境现状，分析了现存主要破坏因素，并提出规划目标，制定相应保护管理规定及文物保护措施，提出展示利用原则与思路等。\n　　“侵华日军第七三一细菌部队安达特别实验场遗址”位于黑龙江省安达市，始建于1941年。该实验场隶属侵华日军第七三一细菌部队第二部，是对动物、活人进行细菌实验，检验各类细菌杀伤力的重要野外细菌实验基地。\n　　1945年日本投降后，为了毁灭其残忍的细菌实验罪行，七三一部队撤离时，炸毁了这里的全部实验场设施，只有建筑遗址可见。\n　　黑龙江省文化和旅游厅文物保护与考古处调研员吴疆介绍，该遗址作为战争罪证纪念地，对于全人类具有重大警示作用，可以让世界人民牢记日本法西斯对人类犯下的滔天罪行，牢记战争给人类带来的苦难，对于维护和平、珍爱生命，促进世界和平起到教育作用。（董宝森）\n(责编：木胜玉、朱红霞)\n,黑龙江省;侵华日军;细菌
3,玉米浑身都是宝，不止好吃，身上的须还有这样的功效,从古至今，无论是帝王将相还是平民百姓，喜欢吃玉米者不乏其人。据史料记载，明正德皇帝有一次外出游玩时，饥肠辘辘，进一户农家讨食吃。农夫给他端来一碗玉米饭，他吃得十分香甜。饭后，他问农夫，此饭为何米所做？农夫说，这是“珍珠米”。金灿灿的玉米粒，较之珍珠也不遑多让。论食疗功效，玉米也不一般。下面，和51养生网小编一起来看看吧！\n玉米开胃，平肝利胆\n玉米性平味甘，老年人、儿童、久病在床的人平时适合多吃点玉米。入肝经、肾经、膀胱经，有利尿消肿、健脾渗湿、平肝利胆的功效。尤其值得一提的是它开胃的功效。如东北人家，常爱吃玉米碴子粥：把打碎的玉米粒和芸豆泡软，倒入锅中，大火煮开，然后改用小火熬，等玉米煮开花，一锅香喷喷的玉米粥就熬好了。如果是老幼病弱人群，更建议先把玉米颗粒磨细一些，变为玉米面粉，再用来熬粥。\n玉米还可用来做菜。将新鲜的玉米粒剥下，与虾仁、黄瓜丁一起炒着吃，别有一番风味。此外，还可以打成粉，跟小麦粉或是大豆粉混合起来，蒸发成糕，或是做成窝头、点心等。\n玉米须：去水肿、调慢病\n很多人吃玉米，都把玉米须丢掉不要。但其实，玉米须也是一剂良药。玉米须味甘、淡，性平，具有利尿消肿、平肝利胆等功效。可用于水肿、小便不利、黄疸、胆囊炎、胆结石、高血压病、糖尿病、乳汁不通、慢性肾炎等多种病症。,玉米;功效;
4,工业富联副董事长李杰辞职现任美国辛辛那提大学特聘讲座教授,"工业富联副董事长李杰辞职现任美国辛辛那提大学特聘讲座教授\n南都讯9月3日，富士康工业互联网股份有限公司（601138）董事会于近日收到董事李杰申请，因工作调整原因辞去在公司担任的副董事长、董事、第一届董事会战略决策委员会及提名委员会的相关职务。李杰所负责的公司相关工作已进行了良好的交接，其辞去副董事长、董事、第一届董事会战略决策委员会及提名委员会的相关职务不会影响公司相关工作的正常进行。\n李杰任副董事长，最新一期披露的年薪为22.8万元。\n最新财报显示，富士康工业互联网股份有限公司2019年第一季度营业总收入为801.21亿，同比增长3.12%；归属净利润为28.74亿,同比增长8.31%。\n富士康工业互联网股份有限公司是全球领先的通信网络设备、云服务设备、精密工具及工业机器人专业设计制造服务商,为客户提供以工业互联网平台为核心的新形态电子设备产品智能制造服务。\n根据南都大数据库信息显示：李杰，男，1957年生，机械工程博士学历。现任美国辛辛那提大学特聘讲座教授，美国国家科学基金会智能维护系统产学合作中心创始主任，美国麦肯锡公司资深顾问等职务。\n(以上信息为南都大数据研究院自动生成)\n",李杰;富士康;辛辛那提大学;副董事长;
6,"“点读机女孩”考上这所名校!学习秘笈首次曝光,太强了！",从昨晚到今早，“点读机女孩”又上热搜了！年年“被高考”的她，今年真的考入大学了！\n“哪里不会点哪里，妈妈再也不用担心我的学习了！”“Soeasy！”\n10年前，一则魔性的广告让年仅8岁的广州女孩高君雨成为全国家喻户晓的“点读机女孩”。\n据广州日报报道，最近，她再次以学霸姿态登上热搜，以超过本科线113分的优异成绩入读中国传媒大学播音主持专业。\n接受记者采访时，高君雨的妈妈李翠霞表示，“大家一直关注君雨的成绩，从她初二开始就传说她高考成绩只有403分，但她一直是以阳光心态去面对，这样网上的声音反而变成了动力，她说，我必须要用实际行动来击碎质疑”。\n每年出高考成绩后，这个小女孩都会被网友密切关注一波，段子至少传播了3年了！\n昨晚，高君雨通过微博表示：\n从初二开始的年年“被高考”到现在的被录取，一直非常感谢大家对我的关注。大家可能担心这些谣言是否会是我成长的阻碍，但在我看来，这些外界的压力会转化为我前进的动力。我十分感谢这些经历，让我一步一步努力前行，成为更好的自己在此也呼吁广大网友“谣言止于智者”\n或许我们可以想象一下，全民监督下心理压力会有多大，每年你都会被拉出来辟个谣，如果成绩真的不理想，相信又会有不少网友恶语相加。\n也或许在压力下，小雨不得不逼着自己去优秀，去成功！我们能这样说，她抗住了压力，绽放出属于自己的美丽！\n此前，高君雨在其微博上分享过一段自白FM，回应了关于高考成绩的种种传言和艺考的感想。\n戳视频↓↓↓\n这一波自白掀起不少网友关于“点读机女孩”的回忆。\n微博截图\n看似光鲜亮丽的背后，也会有一些风雨。过高的关注度曾给高君雨带来一定的困扰，当时还未成年的她就被人恶意抹黑过。\n图片来源：高君雨个人微博\n2015年6月30日，有网友造谣“点读机女孩今年高考成绩出来了，成绩才403，连本科线都没有上，让你天天soeasy。”该微博立刻引起了广大网友的关注。随后高君雨当天下午就在个人微博上辟谣称：自己还是一个初二的学生，根本还没到参加高考的时候，网传高考成绩403分更属无稽之谈。\n微博截图\n这时大家才知道，此时的\,成绩;点读机;高考;
7,网络安全创企Cloudflare上市在即，IPO估值最高可达35亿美元,【猎云网（微信号：ilieyun）】9月4日报道（编译：油人）\nCloudflare是一家内容交付和互联网安全公司。据报道，该公司今早为其IPO设定了初始价格范围。这家总部位于旧金山的公司将在未来几周上市时将每股价格定为10美元至12美元。\n由于该公司预期在其IPO中将出售3500万股股份，它可能筹集高达4.2亿美元的资金。加上为其承销银行保留的525万股股份，该公司可以最高每股12美元的价格收入4.83亿美元。\n根据最新的S-1/A文件，Cloudflare预计在上市时有大约2.93亿股流通股，估值在29亿美元和35亿美元之间。鉴于该公司的最新私人估值为32.5亿美元，它很可能希望提高其价格范围，使其具有更高的估值，最好高于2019年3月的E轮融资。\nCloudflare迄今为止已融资超过3.3亿美元，其中包括FranklinTempletonInvestments、Fidelity、UnionSquareVentures和NEA的投资。早期的投资者包括PelionVenturePartners和Venrock。\nCloudflare在2019年上半年创造了1.292亿美元的收入。这一数字产生了1亿美元的毛利润，使得该公司在此期间的毛利率达到77.4%。这对于一家软件企业来说非常好，即使我们看到像Slack这样的公司偶尔会有更高的数字。\n在2019年上半年，Cloudflare公布了48.3%的收入增长，以及略高的净亏损。该公司的净亏损占收入百分比从2018年上半年的37.3%下降至2019年上半年的28.5%。然而，这两个数字相较以前均表示业绩的恶化，尤其相对于该公司2017年的业绩。在那一年，Cloudflare的收入从8480万美元增长到1.349亿美元，而净亏损仅为1080万美元。\n是什么推动了Cloudflare的亏损扩大呢？一个答案是销售和营销成本的上升。在2019年上半年，Cloudflare的销售和营销成本占收入的52%。该公司指出，从2018年上半年到2019年上半年，销售和营销人员的数量增加了57%。\n但需要指出的是，收入增长加速和经营成本增加往往是相生相灭的。\n,Cloudflare;IPO
8,亳州：送教到乡村互助共成长,送教老师在课堂上指导学生\n“同学们，每个人都是独一无二的，但怎么样能在介绍自己的时候给别人留下深刻的印象呢？现在，我给大家讲个小故事。”1月18日上午，在谯城区五马镇吴小阁小学的一间教室里，来自亳州十二中学的老师吕秀玲的一句话，让学生们立即产生了兴趣。\n吕秀玲通过设置悬念、分组讨论、叙述故事等方式，让学生们学会了如何通过发挥想象力、抓住事物特点、运用修辞手法等提高书面表达能力和口头表达能力。\n当天上午，共有4名来自亳州八中、丹华小学、亳州十二中等学校的优秀教师，到谯城区五马镇吴小阁小学开展公开课教学。老师们采取多媒体教学、自由讨论、小组合作、动手操作等教学方式，调动了课堂气氛，提高了学生们的学习兴趣，让听课的师生受益匪浅。\n“对我来说，参加此次‘送教下乡’活动是一次非常好的学习机会，能促使我反思教学工作中不足之处，学习借鉴其他老师好的教学经验，从而提高自己的教学水平。”来自亳州八中的教师赵芳玲说。\n据了解，“送教下乡”是“我的中国梦”—文化进万家2018年亳州市暨谯城区文化科技卫生“三下乡”集中示范活动的其中一项活动。市教育局基教科科长侯广宇说，今后我市教育部门还将继续开展“送教下乡”活动，以增强城乡教师间的相互交流，促进城乡教师共同成长、城乡教育均衡发展。（记者陈璐文/图）\n,教学;送教
9,小一生成「乾爹」！零用錢打賞師…被抓包竟神回,真讓人哭笑不得！一名媽媽無奈表示，自己的小孩剛要升小一，現在開學了，她也讓孩子帶了一些零錢去上學，以備不時之需，沒想到孩子竟拿去「打賞」老師，且被抓包後，竟然還這樣回應媽媽，讓她不知道該笑還是該罵，搞笑的故事也讓網友笑翻。\n這名媽媽在臉書社團《爆怨公社》PO文表示，自己的孩子現在是小一新生，自己也準備一些零錢讓孩子帶去，本意是要讓孩子打公共電話之類的，還再三提醒孩子「那是急用的零錢！」沒想到才上課幾天，孩子就花得差不多了，這時媽媽也收到班導師的私訊，原來孩子是將零錢拿去當「打賞小費」，而且打賞對象竟然還是老師。\n▼媽媽遭到導師私訊。（圖／翻攝自《爆怨公社》）\n班導師無奈告訴這名媽媽：「今天孩子有帶一包錢來學校，上課一直拿出來玩」、「閩南語老師上課彈完吉他後，還拿錢出來要給閩南語老師」，最終老師語重心長表示：「可以的話，想請媽媽幫孩子收起來，不要帶來學校」，讓這名媽媽超糗，慌忙道歉。\n▼網友笑翻。（圖／翻攝自《爆怨公社》）\n而當媽媽無奈的教育孩子一番後，孩子竟然回應：「可是我真的覺得老師彈得很好聽啊！」讓媽媽在內心怒吼：「你484（是不是）弄錯什麼了！」而孩子的搞笑舉動也讓網友紛紛留言：「斗內抖起來」、「笑翻了⋯要搞清楚場合呀」、「有前途，從小出手就不一樣」、「可能老爸有帶他出去玩過幾次吧⋯」、「看來是位海派的聽眾」、「這孩子懂得尊重藝術！真感動」，也有網友建議媽媽：「我兒子小二了，到現在一樣沒給錢讓他帶去，電話教室都有，要用可以跟老師借，而且小一開學，老師也希望不要讓小孩帶錢在身上，可以避免很多不必要的麻煩」。\n（封面示意圖／pixabay、圖／翻攝自《爆怨公社》）\n【往下看更多】\n●\n●\n●\n【今日最熱門】\n●\n●\n●\n,打賞;零錢;
10,秋天多吃这个菜，维C是西红柿的8倍，苹果的16倍，才2元1斤,最近猪肉价格涨得特别夸张，家里都要吃不起肉了，早上去菜市场转悠的时候特别发愁，今天到底是买上些什么菜比较好呢，健康与美味还要兼顾，想必每次选菜的时候都愁怀了，我们这些“家庭煮妇”。\n最近秋天到了，还是少吃一点肉，多吃蔬菜避免秋燥，尤其是要注意维生素的补充。说起什么菜才是“维生素之王”，想必当之无愧的就是花椰菜了，维生素C含量非常丰富，胡萝卜素含量是大白菜的8倍，维生素B2的含量是大白菜的2倍，平均营养价值远远超出其他蔬菜。秋天多吃这个菜，维C是西红柿的8倍，苹果的16倍，才2元1斤！\n干贝烧菜花\nBy雪冰姑娘\n配料：\n干贝5克、菜花1颗、花生油适量、酱油1勺、姜1块\n烹饪步骤：\n1.锅中加入清水一碗，放入泡开的干贝放入姜片烧开\n2.加入洗摘小朵的花菜翻炒\n3.加入酱油和盐少量\n4.菜花烧软熟即可\n5.出锅装盘\n烹饪小贴士：\n1.花椰菜，又称花菜、菜花或椰菜花，花椰菜为十字花科芸苔属一年生植物，又名花菜、椰花菜、甘蓝花、洋花菜、球花甘蓝。原产于地中海东部海岸，约在19世纪初引进中国。\n2.花椰菜是一种很受人们欢迎的蔬菜，味道鲜美，营养也很高，还有很高的药用价值。维生素C含量非常丰富，平均营养价值远远超出其他蔬菜。\n3.花椰菜富含膳食纤维、蛋白质、维生素、脂肪、碳水化合物及矿物质等。其中胡萝卜素含量是大白菜的8倍，维生素B2的含量是大白菜的2倍。钙含量较高，堪与牛奶中的钙含量媲美。是含有类黄酮最多的食物之一。\n您喜欢吃菜花吗？,花椰菜;
